twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.466,.417,20,13,3,10,31,.667,90,7,240,Orlando Magic
.470,.429,22,13,2,6,34,.769,88,9,240,Philadelphia 76ers
.456,.316,22,12,6,6,35,.853,107,8,240,Indiana Pacers
.532,.583,33,11,4,8,20,.808,112,6,240,Atlanta Hawks
.571,.429,23,17,3,3,27,.808,99,4,240,Boston Celtics
.487,.476,15,19,6,14,30,.958,107,5,240,Orlando Magic
.414,.417,21,14,1,11,39,.783,100,12,240,Dallas Mavericks
.453,.286,19,16,6,7,38,.756,105,5,240,Denver Nuggets
.506,.455,27,13,5,8,29,.905,109,5,240,Houston Rockets
.493,.318,24,19,9,12,38,.500,90,5,240,Los Angeles Clippers
.513,.500,23,10,4,10,35,.619,97,10,240,Miami Heat
.426,.417,19,13,5,12,38,.780,123,10,315,Oklahoma City Thunder
.468,.333,25,11,8,10,32,.647,89,7,240,New Orleans Hornets
.580,.545,28,11,7,14,38,.704,127,6,240,Toronto Raptors
.459,.320,29,7,6,19,27,.800,110,11,240,Utah Jazz
.566,.417,30,9,5,9,34,.667,118,7,240,Miami Heat
.548,.333,25,16,3,4,33,.955,107,4,240,Phoenix Suns
.418,.333,25,9,3,8,36,.821,93,9,240,Atlanta Hawks
.531,.111,29,9,4,8,36,.773,104,7,240,Boston Celtics
.360,.467,21,22,11,17,45,.688,91,3,265,Charlotte Bobcats
.403,.417,17,19,11,10,32,.763,109,11,240,Denver Nuggets
.597,.318,24,12,4,7,28,.733,104,5,240,Orlando Magic
.566,.214,27,10,8,7,32,.727,113,10,240,Los Angeles Lakers
.595,.696,26,12,3,6,26,.885,127,9,240,Houston Rockets
.470,.433,27,14,4,6,33,.750,100,8,240,New York Knicks
.449,.500,25,14,3,7,27,.727,105,14,240,Phoenix Suns
.453,.261,23,12,8,8,29,.892,107,11,240,San Antonio Spurs
.549,.200,29,15,1,9,33,.750,111,7,240,Toronto Raptors
.526,.316,25,13,4,3,34,.636,93,11,240,Dallas Mavericks
.417,.167,15,17,9,12,31,.808,83,7,240,Washington Wizards
.500,.421,24,19,8,15,34,.708,119,10,265,Chicago Bulls
.472,.375,15,9,9,6,37,.783,89,7,240,Miami Heat
.468,.125,13,10,4,12,42,.535,96,9,240,Milwaukee Bucks
.593,.692,30,17,8,6,40,.833,129,4,240,Minnesota Timberwolves
.519,.524,23,11,6,10,28,.842,109,5,240,Philadelphia 76ers
.500,.294,23,11,6,6,30,.828,105,4,240,Dallas Mavericks
.453,.250,23,14,5,14,28,.758,108,9,240,Denver Nuggets
.469,.450,23,15,7,14,30,.810,102,6,240,Detroit Pistons
.506,.200,24,13,4,8,41,.655,100,8,240,Boston Celtics
.435,.250,25,16,7,18,29,.925,114,10,240,Oklahoma City Thunder
.580,.381,30,14,2,14,29,.657,125,8,240,Phoenix Suns
.397,.538,16,15,1,17,30,.861,100,10,240,Portland Trail Blazers
.586,.500,29,16,4,7,31,.696,109,10,240,San Antonio Spurs
.489,.444,22,11,2,13,29,.857,116,10,240,New York Knicks
.483,.455,25,15,3,16,36,.588,99,6,240,Chicago Bulls
.553,.500,33,17,8,9,38,.850,124,10,240,Indiana Pacers
.444,.389,23,12,6,12,31,.826,98,5,240,Los Angeles Clippers
.486,.625,20,18,3,11,37,.722,88,2,240,Miami Heat
.529,.433,25,10,6,9,23,.783,121,9,240,New York Knicks
.388,.357,17,11,7,10,32,.750,80,6,240,Atlanta Hawks
.420,.364,18,12,10,10,28,.900,94,9,240,Utah Jazz
.603,.375,34,11,2,10,29,.571,116,8,240,Atlanta Hawks
.500,.450,22,18,5,8,29,.650,100,8,240,Charlotte Bobcats
.448,.350,22,16,10,16,29,.741,105,12,240,Dallas Mavericks
.458,.500,20,15,5,9,26,.774,97,10,240,Houston Rockets
.449,.280,26,11,7,22,23,.800,115,12,240,Los Angeles Lakers
.519,.348,22,7,5,9,35,.833,117,9,240,Philadelphia 76ers
.446,.333,24,11,6,5,27,.970,106,6,240,Portland Trail Blazers
.559,.267,26,19,10,4,38,.694,105,8,240,Boston Celtics
.449,.375,24,16,4,10,34,.600,88,11,240,Chicago Bulls
.425,.368,23,17,2,6,33,.632,87,10,240,Los Angeles Lakers
.360,.231,19,10,10,19,31,.800,97,4,240,Milwaukee Bucks
.519,.353,27,15,12,3,39,.926,111,7,240,Oklahoma City Thunder
.500,.429,29,10,5,4,36,.619,93,7,240,New Orleans Hornets
.483,.381,19,15,5,12,36,.864,113,4,240,New York Knicks
.494,.286,23,15,4,14,33,.818,104,7,265,Memphis Grizzlies
.542,.471,27,19,4,16,32,.750,116,15,240,Sacramento Kings
.512,.462,31,11,5,10,31,.722,111,10,240,San Antonio Spurs
.513,.450,22,15,1,15,27,.800,111,8,240,Miami Heat
.547,.250,31,15,4,5,33,.842,102,11,240,Dallas Mavericks
.559,.583,22,15,6,5,28,.905,102,8,240,Boston Celtics
.444,.333,19,11,1,13,34,.714,97,10,240,Portland Trail Blazers
.413,.471,19,20,2,11,30,.824,88,9,240,Chicago Bulls
.526,.643,33,16,7,15,35,.714,106,8,240,Miami Heat
.442,.419,25,15,9,8,32,.611,100,9,240,Indiana Pacers
.481,.500,17,16,10,11,37,.680,97,7,240,Milwaukee Bucks
.519,.438,21,15,11,13,29,.818,109,7,240,Minnesota Timberwolves
.500,.308,18,20,7,7,27,.885,97,7,240,Oklahoma City Thunder
