twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.500,.462,20,15,3,12,27,.774,110,9,240,Toronto Raptors,52f2f62890a49484183287e3
.519,.333,19,11,3,13,29,.630,103,8,240,Phoenix Suns,52f2f62990a49484183287e4
.493,.438,23,22,6,16,32,.750,93,5,240,Charlotte Bobcats,52f2f62990a49484183287e5
.443,.286,22,9,7,11,29,.759,96,4,240,Utah Jazz,52f2f62a90a49484183287e6
.447,.391,24,14,10,12,28,.765,103,9,240,Chicago Bulls,52f2f62b90a49484183287e7
.456,.400,21,13,7,7,35,1.000,99,5,240,Indiana Pacers,52f2f62c90a49484183287e8
.577,.583,32,14,5,3,29,.731,116,12,265,Boston Celtics,52f2f62c90a49484183287e9
.506,.300,18,9,2,11,27,.722,109,5,240,Miami Heat,52f2f62d90a49484183287ea
.337,.375,15,18,9,19,39,.810,79,8,240,Milwaukee Bucks,52f2f62e90a49484183287eb
.416,.320,18,9,4,13,30,.731,91,4,240,Orlando Magic,52f2f62f90a49484183287ec
.481,.333,23,11,5,10,30,.926,107,8,240,New Orleans Hornets,52f2f62f90a49484183287ed
.482,.444,21,13,5,10,37,.839,116,10,240,San Antonio Spurs,52f2f63090a49484183287ee
.450,.455,22,15,7,15,25,.872,111,12,240,Atlanta Hawks,52f2f63190a49484183287ef
.512,.550,31,12,3,10,22,.684,121,11,240,Phoenix Suns,52f2f63190a49484183287f0
.450,.333,28,14,1,11,36,.722,104,8,240,Houston Rockets,52f2f63290a49484183287f1
.409,.550,16,12,5,13,32,.895,117,9,240,San Antonio Spurs,52f2f63390a49484183287f2
.539,.333,18,12,5,9,28,.789,100,7,240,Detroit Pistons,52f2f63490a49484183287f3
.521,.500,25,16,11,8,37,.750,113,5,240,Charlotte Bobcats,52f2f63490a49484183287f4
.493,.407,21,15,3,8,30,.704,98,3,240,Dallas Mavericks,52f2f63590a49484183287f5
.424,.389,22,12,5,14,30,.815,101,13,240,Golden State Warriors,52f2f63690a49484183287f6
.597,.400,32,12,8,9,26,.947,110,5,240,New Jersey Nets,52f2f63790a49484183287f7
.438,.353,12,19,6,9,38,.794,89,10,240,Orlando Magic,52f2f63790a49484183287f8
.427,.200,17,10,8,9,34,.800,100,4,240,Phoenix Suns,52f2f63890a49484183287f9
.507,.400,18,12,6,14,25,.971,115,9,240,Oklahoma City Thunder,52f2f63990a49484183287fa
.463,.400,28,7,3,3,35,.760,101,6,240,Cleveland Cavaliers,52f2f63a90a49484183287fb
.488,.357,23,13,2,10,34,.660,120,4,240,Denver Nuggets,52f2f63a90a49484183287fc
.486,.667,18,19,4,14,26,.536,95,12,240,Chicago Bulls,52f2f63b90a49484183287fd
.500,.533,26,9,8,5,25,.870,102,4,240,Atlanta Hawks,52f2f63c90a49484183287fe
.460,.368,25,13,7,12,27,.867,100,11,240,Portland Trail Blazers,52f2f63c90a49484183287ff
.538,.625,24,13,4,8,32,.828,118,9,240,Los Angeles Lakers,52f2f63d90a4948418328800
.563,.400,28,16,5,11,36,.684,109,9,240,Washington Wizards,52f2f63e90a4948418328801
.658,.615,32,14,2,11,29,.462,114,7,240,Boston Celtics,52f2f63f90a4948418328802
.446,.438,21,12,2,13,42,.917,103,4,240,Los Angeles Lakers,52f2f63f90a4948418328803
.547,.368,29,11,3,9,33,.880,123,9,240,Miami Heat,52f2f64090a4948418328804
.534,.526,26,14,9,5,28,.893,113,9,240,Minnesota Timberwolves,52f2f64190a4948418328805
.488,.571,23,9,4,7,24,.688,99,8,240,New Orleans Hornets,52f2f64290a4948418328806
.500,.417,26,8,7,13,30,.862,116,9,240,Oklahoma City Thunder,52f2f64390a4948418328807
.466,.167,20,13,5,6,38,.828,94,4,240,Toronto Raptors,52f2f64390a4948418328808
.521,.400,14,18,5,10,27,.846,113,7,240,New York Knicks,52f2f64490a4948418328809
.482,.462,24,13,4,12,38,.682,103,7,240,San Antonio Spurs,52f2f64590a494841832880a
.402,.083,19,5,8,9,35,.838,98,8,240,Utah Jazz,52f2f64590a494841832880b
.506,.538,24,14,14,6,41,.750,107,7,240,Indiana Pacers,52f2f64690a494841832880c
.541,.400,25,17,5,13,24,.652,105,9,240,Orlando Magic,52f2f64790a494841832880d
.400,.318,18,12,7,16,32,.500,86,6,240,Portland Trail Blazers,52f2f64890a494841832880e
.431,.667,16,18,2,6,31,.844,89,6,240,Oklahoma City Thunder,52f2f64890a494841832880f
.447,.263,17,16,3,20,39,.652,88,3,240,Chicago Bulls,52f2f64990a4948418328810
.571,.435,31,18,7,12,31,.844,125,7,240,New York Knicks,52f2f64a90a4948418328811
.425,.294,14,12,3,10,34,.815,95,6,240,Miami Heat,52f2f64b90a4948418328812
.471,.526,30,15,8,7,39,.846,112,10,240,Los Angeles Lakers,52f2f64b90a4948418328813
.459,.280,22,9,9,8,35,.767,108,7,240,New Orleans Hornets,52f2f64c90a4948418328814
.405,.353,20,15,4,9,33,.857,90,8,240,Philadelphia 76ers,52f2f64d90a4948418328815
.429,.364,13,15,6,18,27,.696,86,7,240,Sacramento Kings,52f2f64e90a4948418328816
.488,.364,22,14,3,11,33,.667,106,8,240,Toronto Raptors,52f2f64e90a4948418328817
.439,.250,21,13,4,16,30,.708,94,10,240,San Antonio Spurs,52f2f64f90a4948418328818
.378,.188,14,15,8,16,25,.857,89,7,240,Washington Wizards,52f2f65090a4948418328819
.476,.462,27,13,2,10,30,.875,98,5,240,Dallas Mavericks,52f2f65090a494841832881a
.575,.474,37,14,6,8,33,.737,123,6,240,Charlotte Bobcats,52f2f65190a494841832881b
.475,.538,24,7,3,9,33,.750,107,3,240,Denver Nuggets,52f2f65290a494841832881c
